Country,Country Code,Year,Population,Area,PopByArea
Costa Rica,CRI,2019,63743,19730,3.230765332
Costa Rica,CRI,2018,16464,19730,0.834465281
Costa Rica,CRI,2017,97561,19730,4.944804866
Costa Rica,CRI,2016,595535,19730,30.1842372
Costa Rica,CRI,2015,155532,19730,7.883020781
Croatia,HRV,2022,1990,56542,0.035195076
Croatia,HRV,2021,89215,56542,1.577853631
Croatia,HRV,2020,458811,56542,8.114516642
Croatia,HRV,2019,14670,56542,0.25945315
Croatia,HRV,2018,76018,56542,1.344451912
Croatia,HRV,2017,48080,56542,0.850341339
Croatia,HRV,2016,171820,56542,3.038803014
Croatia,HRV,2015,147130,56542,2.602136465
Cuba,CUB,2022,144345,110860,1.302047628
Cuba,CUB,2021,135156,110860,1.2191593
Cuba,CUB,2020,44385,110860,0.400369836
Cuba,CUB,2019,21313,110860,0.192251488
Cuba,CUB,2018,36722,110860,0.331246617
Cuba,CUB,2017,1391722,110860,12.55386975
Cuba,CUB,2016,25,110860,0.00022551
Cuba,CUB,2015,71636,110860,0.646184377
Cura̤ao,,2022,153445,171,897.3391813
Cura̤ao,,2021,337119,171,1971.45614
Cura̤ao,,2020,387133,171,2263.935673
Cura̤ao,,2019,55024,171,321.7777778
Cura̤ao,,2017,1003274,171,5867.099415
Cura̤ao,,2016,10886,171,63.66081871
Cura̤ao,,2015,11425,171,66.8128655
Czechia,CZE,2022,338129,78866,4.287386199
Czechia,CZE,2021,3895,78866,0.049387569
Czechia,CZE,2020,51842,78866,0.657342835
Czechia,CZE,2019,2,78866,2.53595E-05
Czechia,CZE,2018,1943776,78866,24.64656506
Czechia,CZE,2017,15100,78866,0.191464002
Czechia,CZE,2016,10787,78866,0.136776304
Czechia,CZE,2015,189553,78866,2.403481855
Denmark,DNK,2022,33,43094,0.000765768
Denmark,DNK,2021,33,43094,0.000765768
Denmark,DNK,2020,2723,43094,0.063187451
Denmark,DNK,2019,222922,43094,5.172924305
Denmark,DNK,2018,4994,43094,0.115886202
Denmark,DNK,2017,44245,43094,1.026709055
Denmark,DNK,2016,32644.5,43094,0.757518448
Denmark,DNK,2015,8,43094,0.000185641
Egypt,EGY,2017,18,1001450,1.79739E-05
El Salvador,SLV,2021,414631,8124,51.03778927
El Salvador,SLV,2020,3501,8124,0.430945347
El Salvador,SLV,2018,55467.86403,8124,6.827654361
El Salvador,SLV,2017,30447.85905,8124,3.747890085
El Salvador,SLV,2016,45272,8124,5.572624323
El Salvador,SLV,2015,387192,8124,47.66026588
Equatorial Guinea,GNQ,2015,111556,10831,10.29969532
Estonia,EST,2022,1,45226,2.21112E-05
Estonia,EST,2021,1,45226,2.21112E-05
Estonia,EST,2020,265640,45226,5.873612524
Estonia,EST,2019,127358,45226,2.816035024
Estonia,EST,2018,333687,45226,7.378211648
Estonia,EST,2017,67081234,45226,1483.244903
Estonia,EST,2016,189383,45226,4.187480653
Estonia,EST,2015,422,45226,0.009330916
Eswatini,SWZ,2017,2018009,6704,301.0156623
Falkland Islands (Malvinas),,2016,2151,4700,0.457659574
Faroe Islands,FRO,2022,2113,1399,1.510364546
Faroe Islands,FRO,2021,165172,1399,118.0643317
Faroe Islands,FRO,2020,180728,1399,129.1837026
Faroe Islands,FRO,2019,214023,1399,152.9828449
Faroe Islands,FRO,2018,14098.76243,1399,10.07774298
Faroe Islands,FRO,2017,22991.78478,1399,16.4344423
Faroe Islands,FRO,2016,408931,1399,292.3023588
Faroe Islands,FRO,2015,660454,1399,472.0900643
Fiji,FJI,2021,45838,18270,2.50892173
Fiji,FJI,2020,213039,18270,11.66059113
Fiji,FJI,2019,890019,18270,48.71477833
Fiji,FJI,2017,563515,18270,30.8437329
Fiji,FJI,2016,414744,18270,22.70082102
Finland,FIN,2022,40122,338145,0.11865324
Finland,FIN,2021,37713,338145,0.111529078
Finland,FIN,2020,7041.370706,338145,0.020823525
Finland,FIN,2019,589563,338145,1.74352127
Finland,FIN,2018,1078397,338145,3.18915554
Finland,FIN,2017,3381.483462,338145,0.010000099
Finland,FIN,2016,189176,338145,0.559452306
Finland,FIN,2015,366,338145,0.001082376
France,FRA,2021,37598,547030,0.068731148
France,FRA,2020,258100,547030,0.471820558
France,FRA,2019,25800,547030,0.047163775
France,FRA,2018,81333,547030,0.14868106
France,FRA,2017,717839,547030,1.312247957
France,FRA,2016,135938.5,547030,0.248502824
France,FRA,2015,292550,547030,0.534796995
French Guiana,,2022,657,32253,0.020370198
French Guiana,,2021,622,32253,0.019285028
French Guiana,,2020,149816,32253,4.645025269
French Guiana,,2019,21519,32253,0.667193749
French Guiana,,2018,1023,32253,0.03171798
French Guiana,,2017,870.5,32253,0.026989737
French Guiana,,2016,178883,32253,5.54624376
French Guiana,,2015,314611,32253,9.754472452
French Polynesia,PYF,2021,157456,1359,115.861663
French Polynesia,PYF,2020,157456,1359,115.861663
French Polynesia,PYF,2019,15031,1359,11.06033848
French Polynesia,PYF,2018,65374,1359,48.10448859
French Polynesia,PYF,2017,12906,1359,9.496688742
"Gambia, The",GMB,2015,63564,11300,5.625132743
Georgia,GEO,2022,184269,69700,2.64374462
Georgia,GEO,2021,120783,69700,1.732898135
Georgia,GEO,2020,143565,69700,2.059756098
Georgia,GEO,2019,89965,69700,1.290746055
Georgia,GEO,2018,15531,69700,0.222826399
Georgia,GEO,2017,2891,69700,0.041477762
Georgia,GEO,2016,102195,69700,1.466212339
Georgia,GEO,2015,108793,69700,1.560875179
Germany,DEU,2022,693,137847,0.005027313
Germany,DEU,2021,3103,137847,0.022510465
Germany,DEU,2020,82214,137847,0.596414866
Germany,DEU,2019,323680,137847,2.348110586
Germany,DEU,2018,2703,137847,0.019608697
Germany,DEU,2017,2949,137847,0.021393284
Germany,DEU,2016,70396,137847,0.510682133
Germany,DEU,2015,52592,137847,0.381524444
Greece,GRC,2022,11184.69934,131940,0.084771103
Greece,GRC,2021,129696,131940,0.982992269
Greece,GRC,2020,523,131940,0.003963923
Greece,GRC,2019,332140.5,131940,2.517360164
Greece,GRC,2018,34866,131940,0.26425648
Greece,GRC,2017,32423,131940,0.245740488
Greece,GRC,2016,1721804,131940,13.04990147
Greece,GRC,2015,1615386,131940,12.24333788
Greenland,GRL,2021,132478.5,2166086,0.061160314
Greenland,GRL,2020,349105.5,2166086,0.161168809
Greenland,GRL,2019,349105.5,2166086,0.161168809
Greenland,GRL,2018,40299,2166086,0.018604524
Greenland,GRL,2017,19675,2166086,0.009083204
Greenland,GRL,2016,42940,2166086,0.019823774
Greenland,GRL,2015,1301082,2166086,0.600660362
Grenada,GRD,2019,13596,134.6,101.0104012
Grenada,GRD,2018,3358.5,134.6,24.95170877
Grenada,GRD,2017,1073.277423,134.6,7.973829294
Grenada,GRD,2016,309065,134.6,2296.173848
Grenada,GRD,2015,7136,134.6,53.01634473
Guadeloupe,,2022,1029,629,1.635930048
Guadeloupe,,2021,538,629,0.855325914
Guadeloupe,,2020,339749,629,540.1414944
Guadeloupe,,2019,155082,629,246.5532591
Guadeloupe,,2018,4053.73498,629,6.444729698
Guadeloupe,,2017,697704,629,1109.227345
Guadeloupe,,2016,7356,629,11.69475358
Guadeloupe,,2015,19483840,629,30975.89825
Guam,GUM,2021,2417,541,4.467652495
Guam,GUM,2020,7354,541,13.59334566
Guam,GUM,2019,170076,541,314.3733826
Guam,GUM,2018,259289,541,479.2772643
Guam,GUM,2017,2873,541,5.310536044
Guam,GUM,2016,482222,541,891.3530499
Guam,GUM,2015,19644350,541,36311.18299
Guatemala,GTM,2020,172958,108890,1.588373588
Guatemala,GTM,2019,6765753,108890,62.13383231
Guatemala,GTM,2018,206227,108890,1.893902103
Guatemala,GTM,2017,292808,108890,2.689025622
Guatemala,GTM,2016,582,108890,0.005344843
Guatemala,GTM,2015,626667,108890,5.755046377
Guernsey,,2022,48934,24,2038.916667
Guernsey,,2021,388838,24,16201.58333
Guernsey,,2020,7853,24,327.2083333
Guernsey,,2019,7853,24,327.2083333
Guernsey,,2018,2556,24,106.5
Guernsey,,2017,239057,24,9960.708333
Guernsey,,2016,57085,24,2378.541667
Guernsey,,2015,177.8865268,24,7.411938617
Hungary,HUN,2022,14445,93030,0.155272493
Hungary,HUN,2021,13734,93030,0.147629797
Hungary,HUN,2020,17545.5,93030,0.188600451
Hungary,HUN,2019,1,93030,1.07492E-05
Hungary,HUN,2018,50215,93030,0.539772117
Hungary,HUN,2017,862,93030,0.009265828
Hungary,HUN,2016,6385.339868,93030,0.068637427
Hungary,HUN,2015,173.3163896,93030,0.001863016
Iceland,ISL,2022,12406,70280,0.176522482
Iceland,ISL,2020,1575,70280,0.022410359
Iceland,ISL,2019,1621,70280,0.023064883
Iceland,ISL,2018,13660,70280,0.194365396
Iceland,ISL,2017,4633,70280,0.065922026
Iceland,ISL,2016,4314.698176,70280,0.061392973
Iceland,ISL,2015,981.9636964,70280,0.013972164
Indonesia,IDN,2020,35332.64977,1919440,0.018407791
Iran,IRN,2016,1065,1648000,0.000646238
Ireland,IRL,2022,63711,103000,0.618553398
Ireland,IRL,2021,1759,103000,0.01707767
Ireland,IRL,2020,7133.606975,103000,0.06925832
Ireland,IRL,2019,63133,103000,0.612941748
Ireland,IRL,2018,50776,103000,0.492970874
Ireland,IRL,2017,92816.5,103000,0.901131068
Ireland,IRL,2016,1050,103000,0.010194175
Ireland,IRL,2015,1,103000,9.70874E-06
Isle of Man,IMN,2022,107,572,0.187062937
Isle of Man,IMN,2021,478,572,0.835664336
Isle of Man,IMN,2016,181,572,0.316433566
Isle of Man,IMN,2015,737,572,1.288461538
Israel,ISR,2021,39,20770,0.001877708
Israel,ISR,2020,2,20770,9.62927E-05
Israel,ISR,2019,30406,20770,1.463938373
Israel,ISR,2018,374336.5,20770,18.02294174
Israel,ISR,2017,3,20770,0.000144439
Israel,ISR,2016,273409,20770,13.16364949
Israel,ISR,2015,534133,20770,25.71656235
Italy,ITA,2022,13154,301230,0.043667629
Italy,ITA,2021,8993,301230,0.029854264
Italy,ITA,2020,694,301230,0.002303887
Italy,ITA,2019,565,301230,0.001875643
Italy,ITA,2018,275980,301230,0.916177008
Italy,ITA,2017,231836.5,301230,0.769632839
Italy,ITA,2016,1109116,301230,3.681957308
Jamaica,JAM,2019,78,10991,0.007096715
Jamaica,JAM,2018,254628,10991,23.16695478
Jamaica,JAM,2017,11,10991,0.001000819
Jamaica,JAM,2016,251221,10991,22.85697389
Jamaica,JAM,2015,32082,10991,2.918933673
Japan,JPN,2022,118201,377835,0.312837614
Japan,JPN,2021,149311,377835,0.395175143
Japan,JPN,2020,10853,377835,0.028724179
Japan,JPN,2019,10307,377835,0.027279103
Japan,JPN,2018,332,377835,0.00087869
Japan,JPN,2017,2137,377835,0.005655908
Japan,JPN,2016,116338,377835,0.307906891
Japan,JPN,2015,113658,377835,0.300813847
Jersey,,2021,2109,45.5,46.35164835
Jersey,,2020,10935.81329,45.5,240.3475448
Jersey,,2019,11018.70154,45.5,242.1692646
Jersey,,2018,11519,45.5,253.1648352
Jersey,,2017,226352,45.5,4974.769231
Jersey,,2016,116706,45.5,2564.967033
Jersey,,2015,4317,45.5,94.87912088
Jordan,JOR,2015,2590,92300,0.028060672
Kazakhstan,KAZ,2022,2579,2717300,0.000949104
Kazakhstan,KAZ,2021,232589,2717300,0.085595628
Kazakhstan,KAZ,2020,135270,2717300,0.049781033
Kazakhstan,KAZ,2019,58687.5,2717300,0.021597726
Kazakhstan,KAZ,2018,152651,2717300,0.056177456
Kazakhstan,KAZ,2017,3,2717300,1.10404E-06
Kazakhstan,KAZ,2016,160059,2717300,0.058903691
Kazakhstan,KAZ,2015,160843,2717300,0.059192213
Kenya,KEN,2019,29861,582650,0.051250322
Kiribati,KIR,2020,2606089,811,3213.426634
Kiribati,KIR,2015,1719,811,2.119605425
Kyrgyzstan,KGZ,2021,2431976,198500,12.25176826
Kyrgyzstan,KGZ,2020,120171,198500,0.605395466
Kyrgyzstan,KGZ,2019,2784081,198500,14.02559698
Kyrgyzstan,KGZ,2018,9399.5,198500,0.047352645
Kyrgyzstan,KGZ,2017,244160.5,198500,1.230027708
Kyrgyzstan,KGZ,2016,5443120,198500,27.42125945
Kyrgyzstan,KGZ,2015,404,198500,0.002035264
Laos,LAO,2015,5439231.5,236800,22.96972762
Latvia,LVA,2021,1166163.5,24926,46.78502367
Latvia,LVA,2020,543,24926,0.021784482
Latvia,LVA,2019,477,24926,0.019136644
Latvia,LVA,2018,205396,24926,8.240231084
Latvia,LVA,2017,1150978,24926,46.17580037
Latvia,LVA,2016,268,24926,0.010751825
Latvia,LVA,2015,117302,24926,4.706009789
Lebanon,LBN,2018,739938,10400,71.14788462
Lesotho,LSO,2016,81402,11720,6.94556314
Liechtenstein,LIE,2022,3172,62,51.16129032
Liechtenstein,LIE,2021,3653000,62,58919.35484
Liechtenstein,LIE,2020,197758,62,3189.645161
Liechtenstein,LIE,2019,413336,62,6666.709677
Liechtenstein,LIE,2018,122230,62,1971.451613
Liechtenstein,LIE,2017,7452600,62,120203.2258
Liechtenstein,LIE,2016,65813,62,1061.5
Liechtenstein,LIE,2015,64210,62,1035.645161
Lithuania,LTU,2021,1496,65200,0.022944785
Lithuania,LTU,2020,397530,65200,6.09708589
Lithuania,LTU,2019,60,65200,0.000920245
Lithuania,LTU,2018,229700,65200,3.523006135
Lithuania,LTU,2017,1555605,65200,23.85897239
Lithuania,LTU,2016,1555605,65200,23.85897239
Lithuania,LTU,2015,156,65200,0.002392638
Luxembourg,LUX,2022,976326,2586,377.5429234
Luxembourg,LUX,2021,388351,2586,150.1744006
Luxembourg,LUX,2020,1819,2586,0.703402939
Luxembourg,LUX,2019,1141,2586,0.441221964
Luxembourg,LUX,2018,165661,2586,64.06071152
Luxembourg,LUX,2017,134270,2586,51.92188708
Luxembourg,LUX,2016,1957725,2586,757.0475638
Luxembourg,LUX,2015,1951343.093,2586,754.5796957
Madagascar,MDG,2018,82630,587040,0.140757018
Malawi,MWI,2018,20315,118480,0.171463538
Malaysia,MYS,2022,2,329750,6.0652E-06
Malaysia,MYS,2021,59652,329750,0.180900682
Malaysia,MYS,2020,1,329750,3.0326E-06
Malaysia,MYS,2019,33,329750,0.000100076
Malaysia,MYS,2018,1,329750,3.0326E-06
Malaysia,MYS,2017,105085,329750,0.318680819
Malaysia,MYS,2016,29526,329750,0.089540561
Malaysia,MYS,2015,23700,329750,0.071872631
Maldives,MDV,2021,1357,115,11.8
Maldives,MDV,2020,4426,115,38.48695652
Maldives,MDV,2019,7697,115,66.93043478
Maldives,MDV,2018,496744,115,4319.513043
Maldives,MDV,2017,432219,115,3758.426087
Maldives,MDV,2016,282290,115,2454.695652
Maldives,MDV,2015,61241,115,532.5304348
Malta,MLT,2022,1605,316,5.079113924
Malta,MLT,2021,2,316,0.006329114
Malta,MLT,2020,135380,316,428.4177215
Malta,MLT,2019,13621,316,43.10443038
Malta,MLT,2018,4216,316,13.34177215
Malta,MLT,2017,151407.5,316,479.1376582
Malta,MLT,2016,23898.5,316,75.62816456
Malta,MLT,2015,281838.5,316,891.8939873
Martinique,,2022,68362,436,156.793578
Martinique,,2021,33,436,0.075688073
Martinique,,2020,1402,436,3.21559633
Martinique,,2019,63,436,0.144495413
Martinique,,2018,73,436,0.167431193
Martinique,,2017,137596,436,315.587156
Martinique,,2016,290366,436,665.9770642
Martinique,,2015,280334,436,642.9678899
Mauritius,MUS,2022,3449,2040,1.690686275
Mauritius,MUS,2021,4982,2040,2.442156863
Mauritius,MUS,2020,51278,2040,25.13627451
Mauritius,MUS,2019,415,2040,0.203431373
Mauritius,MUS,2018,354183,2040,173.6191176
Mauritius,MUS,2017,20,2040,0.009803922
Mauritius,MUS,2016,294173,2040,144.202451
Mauritius,MUS,2015,47962.04148,2040,23.51080465
Mayotte,,2022,1516887,144,10533.9375
Mayotte,,2021,1516887,144,10533.9375
Mayotte,,2020,379905,144,2638.229167
Mayotte,,2019,10288,144,71.44444444
Mayotte,,2018,100799,144,699.9930556
Mayotte,,2017,167799,144,1165.270833
Mayotte,,2016,37510.16146,144,260.4872324
Mayotte,,2015,299,144,2.076388889
Mexico,MEX,2022,621828,1972550,0.315240678
Mexico,MEX,2021,3680.979455,1972550,0.001866102
Mexico,MEX,2020,10132,1972550,0.005136498
Mexico,MEX,2019,5091717,1972550,2.581286659
Mexico,MEX,2018,31072,1972550,0.015752199
Mexico,MEX,2017,1245666,1972550,0.631500342
Mexico,MEX,2016,212,1972550,0.000107475
Mexico,MEX,2015,214495,1972550,0.108739956
Monaco,MCO,2016,1393978.5,2,696989.25
Mongolia,MNG,2022,127237,1564116,0.081347547
Mongolia,MNG,2021,12184,1564116,0.007789704
Mongolia,MNG,2020,127237,1564116,0.081347547
Mongolia,MNG,2019,1142,1564116,0.000730125
Mongolia,MNG,2018,322088,1564116,0.205923346
Mongolia,MNG,2017,145527,1564116,0.093041053
Mongolia,MNG,2016,1483748,1564116,0.948617622
Mongolia,MNG,2015,30218,1564116,0.019319539
Montenegro,MNE,2022,15572,5332,2.92048012
Montenegro,MNE,2021,8196,5332,1.537134284
Montenegro,MNE,2020,90784,5332,17.02625656
Montenegro,MNE,2019,94,5332,0.017629407
Montenegro,MNE,2018,46742,5332,8.766316579
Montenegro,MNE,2017,33746,5332,6.328957239
Montenegro,MNE,2016,2252012,5332,422.3578395
Montenegro,MNE,2015,1804184.5,5332,338.369186
Montserrat,,2022,32542,39,834.4102564
Montserrat,,2021,7274,39,186.5128205
Montserrat,,2020,131622,39,3374.923077
Montserrat,,2019,288397,39,7394.794872
Montserrat,,2018,3,39,0.076923077
Mozambique,MOZ,2017,44680.5,801590,0.055739842
Netherlands,NLD,2022,8112,41526,0.195347493
Netherlands,NLD,2021,6117,41526,0.147305303
Netherlands,NLD,2020,1038,41526,0.024996388
Netherlands,NLD,2019,1182676,41526,28.48037374
Netherlands,NLD,2018,1093238,41526,26.32659057
Netherlands,NLD,2017,1632,41526,0.039300679
Netherlands,NLD,2016,744,41526,0.017916486
Netherlands,NLD,2015,5122392,41526,123.3538506
New Caledonia,NCL,2016,3505984.893,19060,183.9446429
New Caledonia,NCL,2015,30497.26735,19060,1.600066493
New Zealand,NZL,2021,1019837,268680,3.795730981
New Zealand,NZL,2020,41171,268680,0.153234331
New Zealand,NZL,2019,2220000,268680,8.26261724
New Zealand,NZL,2018,1466,268680,0.005456305
New Zealand,NZL,2017,36152,268680,0.134554116
New Zealand,NZL,2016,125597.502,268680,0.4674613
New Zealand,NZL,2015,1011891,268680,3.766156766
Niue,,2017,175255.5,100.95,1736.062407
Niue,,2016,498951,100.95,4942.555721
Macedonia,MKD,2021,1955470,25333,77.19062093
Macedonia,MKD,2020,3943000,25333,155.6467848
Macedonia,MKD,2019,4353000,25333,171.8312083
Macedonia,MKD,2018,169195.5,25333,6.678857617
Macedonia,MKD,2017,5503297,25333,217.2382663
Macedonia,MKD,2016,862590,25333,34.05005329
Macedonia,MKD,2015,523731,25333,20.67386413
Norway,NOR,2021,40527,323802,0.12515982
Norway,NOR,2020,3782,323802,0.011679977
Norway,NOR,2019,2744,323802,0.008474315
Norway,NOR,2018,131.5,323802,0.000406112
Norway,NOR,2017,117614,323802,0.363228146
Norway,NOR,2016,970,323802,0.002995658
Norway,NOR,2015,979,323802,0.003023453
Oman,OMN,2020,135243,212460,0.63655747
Pakistan,PAK,2017,1786771.5,803940,2.222518472
Palau,PLW,2020,158406,458,345.8646288
Palau,PLW,2015,79669,458,173.9497817
Panama,PAN,2022,36572,78200,0.467672634
Panama,PAN,2021,36572,78200,0.467672634
Panama,PAN,2020,610220,78200,7.803324808
